en_tok,de_tok
did your mother make those ?,hat deine mutter die gemacht ?
they didn ' t say that .,das haben sie nicht gesagt .
picasso painted this painting in .,picasso hat dieses bild gemalt .
this is a huge loss .,das ist ein enormer verlust .
do you plan to go abroad ?,"hast du vor , ins ausland zu gehen ?"
this hat does match the brown dress .,dieser hut passt schon zum braunen kleid .
why did you wait until the last minute to do this ?,warum haben sie damit bis zur letzten minute gewartet ?
the sky is full of stars .,der himmel ist voller sterne .
tom doesn ' t know mary ' s telephone number .,tom weiß nicht marys telefonnummer .
the shop ' s closed .,der laden ist geschlossen .
i ' m a teacher of french .,ich bin französischlehrerin .
do you have non - alcoholic drinks ?,haben sie nicht - alkoholische getränke ?
have you ever been a teacher ?,warst du schon einmal lehrerin ?
no one has seen tom for years .,tom ist schon seit jahren von niemandem mehr gesehen worden .
i thought that doing that would be a waste of time .,ich hielt das für eine zeitverschwendung .
"tom was looking for his umbrella , but he didn ' t find it .","tom suchte seinen schirm , fand ihn aber nicht ."
i ' m devastated .,ich bin am boden zerstört .
i don ' t usually wear a suit .,ich trage normalerweise keine anzüge .
tom feels a bit under the weather today .,tom ist heute nicht richtig auf dem damm .
return this book as soon as you can .,"geben sie das buch , so schnell wie sie können , zurück ."
i wonder why tom was murdered .,"ich wüsste gerne , warum man tom umgebracht hat ."
i don ' t like to eat alone .,ich esse nicht gern allein .
can you hold on a second ?,kannst du mal kurz warten ?
did you kiss someone ?,haben sie jemanden geküßt ?
both tom and mary were dressed in black .,tom und maria waren beide in schwarz gekleidet .
tom is certain to pass the examination .,tom wird die prüfung ganz sicher bestehen .
he doesn ' t tell lies .,er lügt nicht .
we probably don ' t have enough time to finish doing this today .,"wir haben wahrscheinlich nicht genug zeit , um das heute fertigzubekommen ."
"is your wife a canadian , too ?",ist deine frau auch kanadierin ?
everything i ' ve told you may not be true .,"vielleicht stimmt das alles , was ich euch gesagt habe , gar nicht ."
tom is bleeding .,tom blutet .
the sailors scrubbed the deck .,die matrosen schrubbten das deck .
do we know a good babysitter ?,kennen wir einen guten kinderaufpasser ?
did tom win again ?,hat tom schon wieder gewonnen ?
who warned you ?,wer hat euch gewarnt ?
i was hardly able to see it .,ich konnte ihn kaum sehen .
i didn ' t want to wait .,ich wollte nicht warten .
my french is fairly good .,mein französisch ist ganz gut .
i feel lost without you .,ich fühle mich ohne dich verloren .
the village has no electricity .,im dorf gibt es keinen strom .
hard work beats natural talent .,fleißige arbeit siegt über angeborene begabung .
did you get the check ?,hast du den scheck bekommen ?
your education is important .,deine ausbildung ist wichtig .
don ' t go too far away .,geh nicht zu weit weg !
do you really think tom is dependable ?,"meinen sie wirklich , daß man sich auf tom verlassen kann ?"
tom sang out of tune .,tom hat schief gesungen .
that ' s a bright idea .,das ist eine phantastische idee .
that ' s common knowledge in every village .,das ist in jedem dorf allgemein bekannt .
tom said he heard someone singing .,"tom sagte , er hörte jemanden singen ."
tom hoped somebody would buy his old bicycle .,"tom hoffte , jemand würde sein altes fahrrad kaufen ."
burn it .,verbrennen sie es !
electronic components can be cleaned using pure isopropyl alcohol .,elektronische bauteile lassen sich mit reinem isopropanol reinigen .
i don ' t speak french very well .,ich spreche nicht sehr gut französisch .
do you know those ladies who just got off the train ?,"kennen sie die damen , die gerade aus dem zug gestiegen sind ?"
do you know anybody in boston ?,kennst du in boston jemanden ?
the patient ' s condition is stable .,der zustand der patientin ist stabil .
tom is going to make some changes .,tom wird einige änderungen vornehmen .
"tom , what are you doing up in that tree ?","tom , was tust du da oben auf dem baum ?"
you should ' ve seen this coming .,du hättest das kommen sehen müssen .
tom cut the apple in half .,tom halbierte den apfel .
come home at six .,komm um sechs uhr nach hause !
tom was afraid to cross the road .,"tom hatte angst , die straße zu überqueren ."
young people should respect their elders .,junge menschen sollten respekt vor älteren haben .
i just wanted to wish you luck .,ich wollte ihnen einfach viel glück wünschen .
i never eat meat .,ich esse nie fleisch .
he earns more money than he can spend .,"er verdient mehr geld , als er ausgeben kann ."
i was born in a taxi .,ich bin in einem taxi geboren .
i know her well .,ich kenne sie gut .
are you fasting ?,fasten sie ?
tom ' s fat .,tom ist dick .
i like this song .,ich mag dieses lied .
i hope you guys like my new album .,"ich hoffe , euch gefällt mein neues album ."
tom stole mary ' s lunch money .,tom stibitzte maria das geld fürs mittagessen .
i live a long way away .,ich wohne ganz weit weg .
i have to run .,ich muss rennen .
are you new ?,bist du neu ?
i want you to meet my parents .,"ich möchte , dass du meine eltern kennenlernst ."
do you think that ' s necessary ?,"denkst du , das ist notwendig ?"
"though seriously injured , he managed to get to a telephone .","obwohl er schwer verletzt war , schaffte er es , zu einem telefon zu kommen ."
did you notice what time it was when tom left ?,"haben sie darauf geachtet , wie spät es war , als tom gegangen ist ?"
tom is ill - tempered .,tom ist schlecht gelaunt .
let ' s wait for another minutes .,lass uns noch fünf weitere minuten warten !
tom is young and healthy .,tom ist jung und munter .
tom was assaulted .,tom wurde angegriffen .
about how much money do you have ?,wie viel geld habt ihr ungefähr ?
it was apparent that there was no way out .,"es war offensichtlich , dass es keinen ausweg gab ."
i ' m not the least bit hungry .,ich habe überhaupt keinen hunger .
we pitched the tent next to the river .,wir schlugen das zelt neben dem fluss auf .
i ' ll try to be more patient from now on .,"von nun an werde ich mich bemühen , gelduldiger zu sein ."
it doesn ' t seem as if anyone ' s there .,"es scheint nicht , dass da jemand ist ."
i came here to do that with tom .,"ich bin hierher gekommen , um das mit tom zu machen ."
tom began to sweat .,tom fing an zu schwitzen .
i ' ve decided to go to boston .,"ich habe beschlossen , nach boston zu fahren ."
how much longer will it take ?,wie lange dauert das denn noch ?
we ' re studying for the exams .,wir lernen für die prüfungen .
it won ' t be long .,es dauert nicht mehr lange .
tom still hasn ' t taken the garbage out .,tom hat noch immer nicht den müll rausgebracht .
tom lay injured on the ground .,tom lag verletzt auf dem boden .
get started .,legt los .
she is a very intelligent young lady .,sie ist eine sehr intelligente junge dame .
tom told me his life ' s story .,tom erzählte mir seine lebensgeschichte .
there ' s a little water left in the glass .,es ist noch etwas wasser im glas .
it isn ' t obvious .,das ist nicht offensichtlich .
you are dreaming .,ihr träumt .
i am immune to smallpox .,ich bin gegen pocken immun .
i felt utterly humiliated .,ich habe mich zutiefst gedemütigt gefühlt .
"thank you for this , tom .","danke dafür , tom ."
tom took his t - shirt off .,tom zog sein t - shirt aus .
let ' s ask for more time .,bitten wir um mehr zeit !
tom took my picture .,tom fotografierte mich .
we don ' t know anything .,wir wissen nichts .
we want tom to stay for a couple of more days .,"wir wollen , dass tom noch ein paar tage länger bleibt ."
the climate here doesn ' t agree with me .,das klima hier bekommt mir nicht .
tom just barely managed to earn enough money to pay the rent .,"tom hat nur mit knapper not genug geld verdient , um die miete zu bezahlen ."
that ' s one reason why i ' m here .,unter anderem deswegen bin ich hier .
tom looks sick .,tom sieht krank aus .
how old do you think that tree is ?,"was glaubst du , wie alt der baum dort ist ?"
i ' d like you to sing .,"ich möchte , daß sie singen ."
there are lives at stake .,es stehen menschenleben auf dem spiel .
do you play any instruments ?,spielen sie irgendwelche instrumente ?
do you know whose tie this might be ?,"weißt du , wem diese krawatte gehören könnte ?"
ask me again in october .,fragt mich im oktober noch mal .
nobody believed tom .,niemand hat tom geglaubt .
his children have grown up .,seine kinder sind groß geworden .
tom forgot to feed his dog .,tom vergaß seinen hund zu füttern .
put your bike up .,stell dein fahrrad ab .
eat it .,iss es .
tom doesn ' t share your enthusiasm .,tom teilt nicht deinen enthusiasmus .
monday comes after sunday .,montag kommt nach sonntag .
they aren ' t twins .,das sind keine zwillinge .
i wish that i ' d thought of it .,"ich wünschte , ich hätte daran gedacht ."
the child offered a flower to the visitor .,das kind bot dem besucher eine blume an .
what ' s the worst movie you ' ve ever seen ?,"welcher film ist der schlechteste , den du je gesehen hast ?"
promise me you won ' t ever do that anymore .,"versprecht mir , daß ihr das nie wieder tut !"
tom didn ' t know what was really going on .,"tom wusste nicht , was wirklich vor sich ging ."
i ' m going to leave now .,ich werde jetzt aufbrechen .
crazy things happen sometimes .,manchmal passieren verrückte dinge .
did you like the book that tom lent you ?,"hat ihnen das buch gefallen , das tom ihnen geliehen hat ?"
why don ' t you answer my question ?,warum antwortest du mir nicht auf meine frage ?
how many sisters do you have ?,wie viele schwestern habt ihr ?
what ' s your data source ?,was ist ihre datenquelle ?
she woke him up .,sie hat ihn aufgeweckt .
i ' m an ambulance driver .,ich bin krankenwagenfahrer .
he is tired from overwork .,er ist wegen arbeitsüberlastung ermüdet .
i have a headache .,ich habe kopfweh .
could you turn off the lights ?,bitte löschen sie das licht .
this story was inspired by true events .,diese geschichte beruht auf wahren begebenheiten .
will you teach me french ?,werdet ihr mir französisch beibringen ?
tom has powerful arms .,tom hat kräftige arme .
i should ' ve stayed at home .,ich hätte zu hause bleiben sollen .
i don ' t like him .,ich mag ihn nicht .
tom bowed politely .,tom verbeugte sich höflich .
a hot bath made me feel much better .,ein heißes bad hob meine stimmung .
i don ' t think tom knows that i ' m mary ' s brother .,"ich glaube , tom weiß nicht , dass ich marias bruder bin ."
this may hurt a little .,das könnte etwas weh tun .
that seat reclines further .,der sitz lässt sich weiter nach hinten lehnen .
did you three do this ?,habt ihr drei das getan ?
did you call me up last night ?,habt ihr mich gestern abend angerufen ?
the prize won ' t be given to her .,der preis wird ihr nicht verliehen werden .
i ' ll be home by midnight at the latest .,ich bin spätestens um mitternacht zu hause .
the teacher went on talking for two hours .,die lehrerin redete zwei stunden lang .
tom drove .,tom fuhr .
tom said that doesn ' t concern him .,"tom sagte , das gehe ihn nichts an ."
i don ' t know whether tom is younger or older than mary is .,"ich weiß nicht , ob tom jünger oder älter als maria ist ."
did you tell the children a story ?,haben sie ihren kindern eine geschichte erzählt ?
which places did you visit in germany ?,welche orte hast du in deutschland besucht ?
we ' re late .,wir sind zu spät .
let ' s get it over with .,bringen wir es hinter uns !
aren ' t you nervous ?,sind sie nicht nervös ?
it was in this box .,sie war in dieser schachtel hier .
tom put a bag of shredded cheese into his shopping cart .,tom legte eine tüte mit geriebenem käse in seinen einkaufswagen .
don ' t get paranoid .,werde nicht paranoid !
how good a swimmer are you ?,wie gut könnt ihr schwimmen ?
i added a picture and hope that you find it appropriate .,"ich habe ein bild hinzugefügt und hoffe , dass du es passend findest ."
how do you catch frogs ?,wie fängt man frösche ?
that isn ' t how you should be doing that .,so solltet ihr das aber nicht machen .
"when i first got to boston , i was in a daze .","als ich zum ersten mal nach boston kam , war ich ganz benommen ."
i ' ll bring flowers the next time i visit .,bei meinem nächsten besuch bringe ich blumen mit .
mary is young and beautiful .,maria ist jung und schön .
what a charming apartment !,was für eine zauberhafte wohnung !
"at each corner , there was a guard tower with a machine gun .",an jeder ecke war ein wachturm mit maschinengewehr .
tom started giggling .,tom fing an zu kichern .
you ' ll be a grandmother soon .,bald wirst du großmutter sein .
i ' m in a really bad mood .,ich bin wirklich schlechter laune .
it ' s a matter of etiquette .,das ist eine frage der etikette .
do you know when tom is leaving ?,"weißt du , wann tom fährt ?"
you should never leave your makeup on overnight .,man sollte nie über nacht geschminkt bleiben .
tom is a first - class snowboarder .,tom ist ein schneebrettfahrer ersten ranges .
tom understands the problem .,tom versteht das problem .
why were you so busy yesterday ?,warum wart ihr gestern so beschäftigt ?
tom left at midnight .,tom ging um mitternacht .
i never liked that one anyway .,ich habe den sowieso nicht gemocht .
you eat too much .,du isst zu viel .
i ' m not sure if this is correct .,"ich bin nicht sicher , ob das richtig ist ."
can you pick up tom ?,können sie tom abholen ?
i ' ll stay at home .,ich werde zuhause bleiben .
do i have to leave a deposit ?,muss ich eine kaution hinterlegen ?
tom had an annoyed look on his face .,tom hatte einen verdrossenen gesichtsausdruck .
can i do that again ?,kann ich das noch mal machen ?
do you remember who asked you ?,"wissen sie noch , wer sie gefragt hat ?"
when are you going to do that ?,wann werdet ihr das machen .
let ' s maintain the status quo .,laß uns den status quo aufrechterhalten .
i can ' t make it any clearer than that .,deutlicher kann ich mich nicht ausdrücken .
our plan was unsuccessful .,unser vorhaben schlug fehl .
it was a warm day .,es war ein warmer tag .
tom is asking for it .,tom bittet darum .
tears fell from her eyes .,die tränen kullerten ihr aus den augen .
you shouldn ' t break your promise .,ihr solltet euer versprechen nicht brechen .
why did you buy the flowers ?,warum hast du die blumen gekauft ?
i think we ' re too young .,"ich glaube , wir sind noch zu jung ."
he served his king faithfully .,er diente seinem könig getreulich .
i can ' t live this way anymore .,ich kann so nicht mehr leben .
he accepted her gift .,er nahm ihr geschenk an .
did you enjoy that ?,hattet ihr freude daran ?
the party was getting out of control .,die party verselbständigte sich .
don ' t worry . i ' ll be careful .,macht euch keine sorgen ! ich bin vorsichtig .
can ' t you just accept that ?,könnt ihr das nicht einfach akzeptieren ?
what day are you usually free ?,an welchem tag hast du normalerweise frei ?
he neither wrote nor telephoned .,er hat weder geschrieben noch angerufen .
tom is waiting for mary ' s reply .,tom wartet auf marias antwort .
i wonder whether tom will help us .,"ich frage mich , ob tom uns helfen wird ."
they live from hand to mouth .,sie leben von der hand in den mund .
it ' s unusual for you to do something like that .,"es ist unüblich , dass du so etwas tust ."
he likes coffee without sugar .,er hat seinen kaffee gerne ohne zucker .
he has no trouble climbing trees .,er klettert mit leichtigkeit auf bäume .
tom wasn ' t the only student who was absent .,tom war nicht der einzige fehlende schüler .
all communication with that airplane was suddenly cut off .,jede verbindung mit jenem flugzeug war plötzlich wie abgeschnitten .
that ' s too expensive for me . can you lower the price a bit ?,das ist mir zu teuer . können sie mit dem preis etwas heruntergehen ?
how long will we have to wait ?,wie lange werden wir warten müssen ?
i ' ll call .,ich werde anrufen .
tom was sewing .,tom nähte .
don ' t you agree ?,sind sie nicht einverstanden ?
which way is the beach ?,wo geht es hier zum strand ?
too late .,zu spät .
you ' ll get your money back .,sie werden ihr geld zurückbekommen .
this library is new .,diese bibliothek ist neu .
i beg you to forgive me .,"ich bitte sie , mir zu vergeben ."
i don ' t remember where i left it .,"ich weiß nicht mehr , wo ich es gelassen habe ."
are you serious ?,ist das euer ernst ?
tom is in boston with his parents .,tom ist mit den eltern in boston .
tom jumped off the pier .,tom sprang vom pier ab .
don ' t you have any friends ?,haben sie keine freunde ?
promise me you won ' t freak out .,"versprich mir , dass du nicht ausflippst !"
"you aren ' t the only canadian here , are you ?","du bist hier nicht der einzige kanadier , oder ?"
mary is tom ' s daughter - in - law .,mary ist toms schwiegertochter .
tom has put on a lot of weight .,tom hat tüchtig zugenommen .
this is a mistake that people often make .,dieser fehler wird oft gemacht .
"ok , let ' s see if you can drive this truck .","dann schauen wir mal , ob du diesen laster fahren kannst !"
a green banana is not ripe enough to eat .,eine grüne banane ist nicht reif genug zum essen .
tom regrets having been rude to mary .,"tom bedauert es , unhöflich zu mary gewesen zu sein ."
they all got into the taxi at once .,sie stiegen alle sofort ins taxi .
i still have to try .,ich muss es immer noch versuchen .
the snake bit me .,die schlange biß mich .
the least you can do is to say thank you .,du kannst dich zumindest bedanken .
i ' ve got to call tom .,ich muss tom anrufen .
there just aren ' t enough customers .,es gibt einfach nicht genug kunden .
can you eat this raw ?,kann man das roh essen ?
one of my friends wants to move in with me .,eine meiner freundinnen will bei mir einziehen .
"where ' s your car , tom ?","wo ist dein auto , tom ?"
i had hoped to meet you there .,"ich hatte gehofft , dich dort zu treffen ."
tom isn ' t that handsome .,tom sieht nicht so gut aus .
put that fire out .,mach das feuer aus .
"you aren ' t going to cry , are you ?","du willst doch nicht weinen , oder ?"
were you looking for me ?,hast du mich gesucht ?
i ' m never coming back here .,ich werde nie wieder hierherkommen .
i ' m not going to go unless you go .,"ich gehe nur , wenn ihr auch geht ."
the wind blew my hat off .,der wind hat mir den hut vom kopf geweht .
would you allow me to do that ?,würdet ihr mir das erlauben ?
cds have taken the place of records .,cds haben schallplatten ersetzt .
someone ' s sleeping on the floor tonight .,heute schläft jemand auf dem fußboden .
haven ' t i paid you enough ?,habe ich ihnen nicht schon genug bezahlt ?
is that something for me ?,ist das für mich ?
how many surfers did you see ?,wie viele surfer habt ihr gesehen ?
tell everybody .,sagen sie es allen .
i ' m going into town .,ich gehe in die stadt .
tom told me mary wasn ' t happy here .,"tom hat mir erzählt , daß sich maria hier nicht wohlfühle ."
do what you think is right for you .,"tut , was ihr für richtig haltet !"
i think the train will soon be here .,"ich glaube , der zug kommt bald ."
tom held the gun to mary ' s head .,tom hielt maria die waffe an den kopf .
i just arrived now .,ich bin gerade erst angekommen .
tom thinks i ' m in love with mary .,"tom denkt , ich bin in maria verliebt ."
it ' s not something that i think i can do .,"das kann ich , glaube ich , nicht ."
tom broke his arm playing soccer .,tom hat sich beim fußballspielen den arm gebrochen .
tom ' s death affected mary more than she had expected .,"toms tod ging maria näher , als sie erwartet hatte ."
tom and mary sometimes play tennis together .,tom und maria spielen manchmal zusammen tennis .
i ' ve decided to consult a lawyer .,"ich habe beschlossen , einen anwalt zu rate zu ziehen ."
did you finish the job ?,bist du mit der arbeit fertig ?
i need lots of time .,ich brauche viel zeit .
i find doing that disagreeable .,"ich finde es misslich , das zu tun ."
i slipped on my geta and dashed outside .,ich zog mir meine getas an und lief schnell nach draußen .
the train suddenly lurched .,der zug ruckte plötzlich an .
put your glasses on .,setz deine brille auf !
you have to move .,du musst umziehen .
tom knows a lot of people .,tom kennt viele leute .
he has a dual personality .,er hat eine gespaltene persönlichkeit .
eat your food .,esst euer essen !
can you come closer ?,könnt ihr näher kommen ?
don ' t wander off .,nicht weglaufen !
does tom think that i can help ?,"glaubt tom , dass ich helfen kann ?"
i think i could learn a lot from you .,"ich glaube , ich könnte viel von dir lernen ."
you picked the wrong person .,du hast dir den falschen ausgesucht .
what are you trying to avoid ?,was versuchn sie zu vermeiden ?
what else did you promise tom ?,was habt ihr tom sonst noch alles versprochen ?
how much did you say this cost ?,was kostete das deinen worten nach ?
no one has ever said such things to me .,solcherlei hat noch nie jemand zu mir gesagt .
sitting all day isn ' t good for you .,den ganzen tag zu sitzen tut dir nicht gut .
do you have attacks of dizziness ?,hast du schwindelanfälle ?
this book made quite an impression on me .,dieses buch hat mich sehr beeindruckt .
have you been keeping something from me ?,hast du mir etwas vorenthalten ?
i ' ve said all i have to say .,"ich habe alles gesagt , was ich zu sagen habe ."
tom tried to call mary numerous times .,tom versuchte mehrmals mary anzurufen .
the laughter died down .,das lachen erstarb .
i took that from tom .,ich habe das von tom genommen .
i ' ve had enough of trying to deal with other people ' s problems .,"ich bin es leid , mich damit zu plagen , die probleme anderer zu lösen ."
you can rest .,sie können sich ausruhen .
i have a strong desire to leave .,mir ist sehr danach zu gehen .
do you want to do that ?,willst du das machen ?
my daughter is to get married in june .,meine tochter heiratet im juni .
have you read the novel that tom wrote ?,"habt ihr den roman gelesen , den tom geschrieben hat ?"
i always wanted to be rich and famous .,ich wollte immer reich und berühmt sein .
st . patrick is the patron saint of ireland .,der heilige patricius ist der schutzheilige von irland .
we met at summer camp .,wir haben uns im sommerlager kennengelernt .
your parents are cool .,deine eltern sind cool .
you can ' t say i never tried .,"du kannst nicht sagen , daß ich s nie versucht hätte ."
tom isn ' t dating mary .,tom geht nicht mit maria aus .
tom shouldn ' t be allowed to drive .,tom sollte nicht fahren dürfen .
tom changed lanes without signaling .,"tom hat , ohne zu blinken , die spur gewechselt ."
tom made a good start .,tom hatte einen guten start hingelegt .
tom is upset .,tom ist bestürzt .
is this mink ?,ist das nerz ?
we ' re not going to let that happen .,das werden wir zu verhindern wissen .
a penny for your thoughts .,"ich wüsste zu gern , was sie gerade denken ."
tom and mary were in love with each other .,tom und maria liebten einander .
what ' s that doing here ?,was macht denn das hier ?
i saw the train come into the station .,ich sah den zug in den bahnhof einfahren .
i don ' t like scary movies .,ich mag keine gruselfilme .
she is not what you think she is .,"sie ist nicht so , wie du sie dir vorstellst ."
how long have you been traveling ?,wie lange sind sie schon auf reisen ?
what are you afraid of ?,wovor fürchtet ihr euch ?
tom tiptoed quietly across the hall .,tom schlich auf zehenspitzen über den flur .
what did tom just tell you ?,was hat tom gerade zu ihnen gesagt ?
i never dream . is that normal ?,ich träume nie . ist das normal ?
who else could ' ve done it ?,wer könnte es sonst noch getan haben ?
i couldn ' t understand why tom wanted to quit school .,"ich begriff nicht , warum tom die schule abbrechen wollte ."
we were able to catch the last train .,"wir schafften es , den letzten zug zu erwischen ."
tom and mary want to go home .,tom und maria wollen nach hause gehen .
my family is not that large .,meine familie ist nicht so groß .
i skipped my breakfast .,ich habe das frühstück ausgelassen .
tom is very proud of both his son and his daughter .,tom ist sowohl auf seinen sohn als auch auf seine tochter sehr stolz .
the man was bitten by a dog .,der mann wurde von einem hund gebissen .
i don ' t understand what you ' re trying to achieve .,"ich verstehe nicht , was du zu erreichen versuchst ."
tom probably can ' t wait until .,tom kann wahrscheinlich nicht bis warten .
it ' s been raining for about a week .,es regnet seit etwa einer woche .
i hate to lose .,ich hasse es zu verlieren .
you might get injured if you do that that way .,"ihr könntet euch verletzen , wenn ihr das so tut ."
he was experienced in business .,er war geschäftlich erfahren .
everybody knows that tom and i like each other .,"jeder weiß , daß tom und ich uns mögen ."
i ' m not going to look .,ich werde nicht hinsehen .
didn ' t you know tom was going to be in boston all week ?,"wußtest du nicht , daß tom die ganze woche in boston ist ?"
i can ' t come today .,ich kann heute nicht kommen .
how much does this ballpoint pen cost ?,wieviel kostet dieser kugelschreiber ?
i am visiting my friends .,ich bin zu besuch bei meinen freunden .
i saw you waiting for someone in front of the school .,"ich habe gesehen , wie ihr vor der schule auf jemanden gewartet habt ."
she poured the milk in a bowl .,sie goss die milch in eine schüssel .
i didn ' t know you weren ' t canadians .,"ich wußte nicht , daß sie keine kanadier sind ."
we ' re not ok .,uns geht es nicht gut .
i ' m saving money for my old age .,ich spare geld fürs alter .
you need to make sure that tom does that .,"sie müssen dafür sorgen , daß tom das tut ."
what ' s your favorite beverage ?,was ist ihr lieblingsgetränk ?
i ' m looking for the light switch .,ich suche den lichtschalter .
my door is open to you anytime .,meine tür steht ihnen jederzeit offen .
i wish tom would take a break .,"ich wünschte , tom würde mal pause machen ."
you ' ll soon get used to speaking in public .,"ihr werdet euch bald daran gewöhnen , in der öffentlichkeit zu reden ."
mt . fuji is covered with snow in the winter .,der fuji ist im winter mit schnee bedeckt .
"you think i work for tom , but i don ' t .","du denkst , ich arbeite für tom , aber das tue ich nicht ."
do you still live in boston ?,lebst du immer noch in boston ?
tom said he ' s afraid to do that .,"tom sagte , er habe angst , das zu tun ."
i think that something bad might happen .,"ich glaube , daß etwas schlimmes passieren könnte ."
she was stabbed in the back .,ihr wurde ein messer in den rücken gestoßen .
who are you closest to in your family ?,wem in ihrer familie fühlen sie sich am meisten verbunden ?
mary said that she thought tom was innocent .,maria hielt tom für unschuldig .
i wasn ' t working .,ich habe nicht gearbeitet .
we take that very seriously .,wir nehmen das sehr ernst .
the snowball melted in my hand .,der schneeball schmolz in meiner hand .
i didn ' t know you had grandchildren .,"ich wußte gar nicht , daß du enkelkinder hast ."
tom will apologize .,tom wird sich entschuldigen .
what good do you think that ' ll do ?,was denkst du soll das bringen ?
i don ' t know who tom is looking for .,"ich weiß nicht , wen tom sucht ."
i need to press the button .,ich muss den knopf drücken .
"you ' re no saint , either .",du bist auch kein heiliger .
what ' s with all the bricks ?,was sollen all die ziegelsteine ?
do you want to have it washed ?,wollt ihr ihn waschen lassen ?
there ' s an orange on the table .,auf dem tisch liegt eine orange .
i didn ' t get on the bus because it was crowded .,"ich konnte nicht in den bus einsteigen , weil er überfüllt war ."
what do you think i should write ?,was sollte ich deiner meinung nach schreiben ?
i ' d really love to meet tom .,ich würde tom wirklich sehr gerne kennenlernen .
why didn ' t you respond ?,warum hast du nicht geantwortet ?
it ' s still alive .,es lebt noch .
"tom and mary are my friends , too .",tom und maria sind auch meine freunde .
it ' s all beginning to make sense .,so langsam macht es alles sinn .
leaves were dropping silently to the ground .,blätter sanken leise zu boden .
it was difficult to keep up the conversation .,"es war schwierig , das gespräch am laufen zu halten ."
he was at the bottom of the class .,er war der schlechteste in der klasse .
i thought we were supposed to have breakfast together .,"ich dachte , wir würden zusammen frühstücken ."
tom let me sleep in .,tom hat mich ausschlafen lassen .
today is the th of october .,heute ist der . oktober .
the news came as a huge shock to tom .,die nachricht schockierte tom zutiefst .
i don ' t want you to lose .,"ich will nicht , dass du verlierst ."
which one is mine ?,welche ist meine ?
what else would you like to see in boston ?,was möchtet ihr sonst noch in boston sehen ?
what have you come up with ?,was hast du dir ausgedacht ?
the game was put off until next week .,das spiel wurde auf nächste woche verschoben .
my plan is to buy a car .,"es ist mein plan , ein auto zu kaufen ."
"that isn ' t so hard , is it ?","das ist doch gar nicht so schwer , oder ?"
can you get a day off ?,können sie sich einen tag freinehmen ?
i ' m glad i ' ve found you .,"ich bin froh , dass ich euch gefunden habe ."
i had the same problems .,ich hatte die gleichen probleme .
tom eventually calmed down .,tom beruhigte sich schließlich .
add spoonfuls of white wine .,fügen sie esslöffel weißwein hinzu .
take my horse .,nimm mein pferd .
tom has no more strength .,tom hat keine kraft mehr .
"you ' re a good boy , tom .","du bist ein guter junge , tom ."
i ' ve read three books since this morning .,ich habe seit heute morgen drei bücher gelesen .
this medicine tastes terrible .,diese medizin schmeckt furchtbar .
the party ended at ten o ' clock .,das fest hörte um zehn uhr auf .
we admired the view of mt . fuji .,wir bewunderten den anblick des fuji .
tom likes to study in the library .,tom lernt gerne in der bibliothek .
tom may come and visit me any time he wants to .,"tom darf jederzeit , wenn er es will , kommen und mich besuchen ."
are you sure you want to know what ' s in this box ?,"bist du dir sicher , daß du wissen willst , was in dieser kiste ist ?"
we need to know if tom will be present or not .,"wir müssen wissen , ob tom zugegen sein wird ."
how long will the storm last ?,wie lang wird der sturm dauern ?
how did the job interview go ?,wie ist das bewerbungsgespräch gelaufen ?
i don ' t know if it ' s true or not .,"ich weiß nicht , ob es stimmt oder nicht ."
"if you rest , you will be back on your feet again soon .","wenn du dich ausruhst , bist du bald wieder auf den beinen ."
i hope you ' ll get his support .,"ich hoffe , ihr bekommt seine unterstützung ."
it isn ' t anywhere near as hot today as it was yesterday .,im gegensatz zu gestern ist es heute überhaupt nicht heiß .
a long silence followed .,es folgte eine ausgedehnte stille .
following simple rules can help prevent the spread of the virus .,"schon die befolgung einfacher regeln kann verhindern helfen , dass sich das virus weiter ausbreitet ."
it wasn ' t a crime .,das war kein verbrechen .
it ' d be better if we didn ' t talk about tom .,"es wäre besser , wenn wir nicht über tom sprächen ."
a gang of three robbed the bank in broad daylight .,eine dreierbande raubte die bank am helllichten tage aus .
tom lives near the airport .,tom wohnt in der nähe des flughafens .
you never know what tom might do .,"man weiß nie , was tom tun könnte ."
slavery was legal there .,sklaverei war dort legal .
i ' m motivated .,ich bin motiviert .
i like tennis .,ich mag tennis .
he can imitate the rest of the family .,er kann den rest der familie nachmachen .
we ' ve decided to move the meeting to next sunday .,"wir haben beschlossen , die versammlung auf nächsten sonntag zu verschieben ."
do you have glaucoma ?,leiden sie unter grünem star ?
it wasn ' t on purpose .,es war nicht absichtlich .
tom prefers staying at home .,tom bleibt lieber zu hause .
tom was walking .,tom ging spazieren .
i want a drink .,ich möchte etwas zu trinken .
i ' m considering studying in the united states next year .,"ich überlege mir , ob ich nächstes jahr in den vereinigten staaten studieren soll ."
that ' s particularly alarming .,das ist besonders alarmierend .
most people won ' t tell you what they really think .,die meisten sprechen ihre wahre meinung nicht aus .
she left me standing there for two hours .,sie hat mich zwei stunden lang dort stehen lassen .
he is a woman hater .,er ist ein frauenhasser .
i ' m taking it seriously .,ich nehme das ernst .
is it here that the bus stops ?,"ist das die stelle , an der der bus hält ?"
i assume you ' re unaware that tom loves you .,"ich nehme an , dir ist nicht bewusst , dass tom dich liebt ."
we sought to come to terms with them .,"wir haben angestrebt , uns mit ihnen zu einigen ."
